epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2134.15,1.36264,0.96067,1.30306,0.96024,0.9111,0.97485,0.62168,1.23474,0.70258,1.26225,0.007228,0.007228,0.007228
44,2182.36,1.34701,0.95662,1.29054,0.95094,0.90444,0.96471,0.56993,1.36698,0.74665,1.33441,0.007162,0.007162,0.007162
45,2229.23,1.34953,0.95735,1.29009,0.95946,0.90479,0.97349,0.65947,1.13254,0.68867,1.19217,0.007096,0.007096,0.007096
46,2278.49,1.355,0.94135,1.29677,0.93887,0.92,0.96985,0.63847,1.20883,0.70075,1.25993,0.00703,0.00703,0.00703
47,2327.69,1.32779,0.92611,1.27748,0.95033,0.9409,0.96938,0.64514,1.15398,0.66774,1.22697,0.006964,0.006964,0.006964
48,2377.34,1.31686,0.9244,1.26987,0.9678,0.9319,0.9751,0.67019,1.10635,0.65107,1.21032,0.006898,0.006898,0.006898
49,2426.17,1.33299,0.92296,1.28013,0.94586,0.92525,0.9713,0.66886,1.12199,0.67986,1.22347,0.006832,0.006832,0.006832
50,2474.96,1.32758,0.91877,1.29005,0.94965,0.93949,0.9736,0.6534,1.14469,0.65373,1.23165,0.006766,0.006766,0.006766
51,2525.22,1.30405,0.91025,1.26313,0.93727,0.93821,0.9652,0.65074,1.1255,0.68245,1.21035,0.0067,0.0067,0.0067
52,2571.93,1.2943,0.90624,1.27039,0.96581,0.90841,0.97096,0.65925,1.11636,0.66979,1.2178,0.006634,0.006634,0.006634
53,2621.48,1.28285,0.9025,1.25569,0.96719,0.92928,0.97669,0.66351,1.11717,0.64723,1.21083,0.006568,0.006568,0.006568
54,2670.52,1.28982,0.89079,1.25488,0.96378,0.93949,0.97988,0.6696,1.08682,0.63394,1.21149,0.006502,0.006502,0.006502
55,2719.95,1.28727,0.87452,1.24752,0.96115,0.95019,0.98211,0.66667,1.13177,0.61101,1.20096,0.006436,0.006436,0.006436
56,2767.97,1.28004,0.88871,1.25529,0.96648,0.93821,0.98152,0.67167,1.11595,0.61334,1.19103,0.00637,0.00637,0.00637
57,2817.27,1.26836,0.87685,1.24634,0.95648,0.95606,0.98333,0.68726,1.08507,0.60873,1.17763,0.006304,0.006304,0.006304
58,2866.07,1.26771,0.88571,1.2484,0.96664,0.9401,0.98442,0.68582,1.09135,0.6121,1.18685,0.006238,0.006238,0.006238
59,2914.37,1.25713,0.85385,1.23925,0.96707,0.94437,0.98053,0.67389,1.11139,0.59828,1.20364,0.006172,0.006172,0.006172
60,2961.97,1.24811,0.85261,1.23361,0.95757,0.94956,0.98231,0.70053,1.04136,0.58516,1.1601,0.006106,0.006106,0.006106
61,3009.64,1.25586,0.84632,1.23762,0.9617,0.93947,0.97738,0.65739,1.13555,0.6281,1.19778,0.00604,0.00604,0.00604
62,3056.47,1.27302,0.85604,1.23903,0.96807,0.94641,0.98357,0.69799,1.04377,0.59999,1.15957,0.005974,0.005974,0.005974
63,3101.67,1.2542,0.85238,1.23967,0.96509,0.94113,0.98325,0.70423,1.02353,0.57545,1.15846,0.005908,0.005908,0.005908
64,3149.54,1.24825,0.85354,1.23324,0.96665,0.95027,0.98609,0.71077,1.01861,0.57074,1.13289,0.005842,0.005842,0.005842
65,3198.97,1.24851,0.8373,1.23432,0.9746,0.94342,0.98261,0.70094,1.03201,0.58775,1.16314,0.005776,0.005776,0.005776
66,3248.81,1.24706,0.8431,1.2234,0.96957,0.94956,0.98682,0.71751,1.0244,0.57205,1.12716,0.00571,0.00571,0.00571
67,3297.21,1.21308,0.82246,1.21338,0.97466,0.94956,0.9854,0.70016,1.04023,0.56169,1.15433,0.005644,0.005644,0.005644
