epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12830.6,1.20466,0.80496,1.2539,0.89265,0.64636,0.72979,0.45424,1.29268,0.85315,1.52487,0.00728033,0.00728033,0.00728033
43,13135.2,1.21256,0.80324,1.25855,0.9096,0.66822,0.74164,0.46876,1.27408,0.84846,1.51187,0.007214,0.007214,0.007214
44,13439.3,1.20732,0.80756,1.25867,0.93799,0.64344,0.74021,0.46182,1.2919,0.84517,1.52897,0.00714767,0.00714767,0.00714767
45,13742.2,1.19084,0.78609,1.24761,0.91808,0.65452,0.73187,0.4596,1.28732,0.81909,1.50853,0.00708133,0.00708133,0.00708133
46,14045.6,1.19432,0.78777,1.24683,0.88381,0.65318,0.73514,0.45842,1.27199,0.83003,1.50143,0.007015,0.007015,0.007015
47,14348.5,1.19855,0.78916,1.24774,0.89522,0.65593,0.7335,0.46573,1.26957,0.83389,1.50586,0.00694867,0.00694867,0.00694867
48,14651.4,1.18775,0.78896,1.24457,0.88788,0.65228,0.73415,0.46255,1.27159,0.80719,1.50938,0.00688233,0.00688233,0.00688233
49,14954.3,1.1817,0.77917,1.24448,0.90481,0.64423,0.73596,0.46498,1.27433,0.80499,1.50423,0.006816,0.006816,0.006816
50,15257.1,1.1903,0.7758,1.24116,0.93046,0.64045,0.73672,0.46725,1.27995,0.81717,1.49899,0.00674967,0.00674967,0.00674967
51,15560,1.18484,0.77572,1.24489,0.91932,0.64489,0.73857,0.46522,1.2724,0.80532,1.49318,0.00668333,0.00668333,0.00668333
52,15865.1,1.18382,0.78327,1.24395,0.92317,0.6664,0.74336,0.46624,1.27202,0.80299,1.49657,0.006617,0.006617,0.006617
53,16168.5,1.17797,0.76283,1.24083,0.92488,0.66702,0.74209,0.46819,1.26049,0.79885,1.49081,0.00655067,0.00655067,0.00655067
54,16471.6,1.16774,0.76255,1.2327,0.92686,0.65889,0.74238,0.47422,1.25473,0.79037,1.48405,0.00648433,0.00648433,0.00648433
55,16775.5,1.17238,0.77352,1.23755,0.92209,0.66245,0.74291,0.47374,1.25207,0.78764,1.47969,0.006418,0.006418,0.006418
56,17078.9,1.16319,0.75318,1.23038,0.92482,0.65718,0.74743,0.47582,1.2597,0.79385,1.49091,0.00635167,0.00635167,0.00635167
57,17382.7,1.1668,0.7541,1.23215,0.92519,0.65102,0.74997,0.48446,1.24834,0.79281,1.47984,0.00628533,0.00628533,0.00628533
58,17687.9,1.1669,0.75224,1.22796,0.92897,0.6599,0.74808,0.47979,1.25098,0.79263,1.48161,0.006219,0.006219,0.006219
59,17991.6,1.16635,0.75082,1.22526,0.92627,0.66012,0.74718,0.48179,1.24398,0.78946,1.4794,0.00615267,0.00615267,0.00615267
60,18294.6,1.17119,0.75858,1.23712,0.9168,0.66342,0.74507,0.48164,1.24599,0.78236,1.4804,0.00608633,0.00608633,0.00608633
61,18597.7,1.15685,0.74152,1.21809,0.92649,0.66411,0.74508,0.47678,1.25005,0.7784,1.48024,0.00602,0.00602,0.00602
62,18901.9,1.15156,0.74189,1.22076,0.92578,0.6663,0.75135,0.48471,1.23993,0.77622,1.47135,0.00595367,0.00595367,0.00595367
63,19206.3,1.16228,0.74454,1.2249,0.9332,0.6528,0.75302,0.48482,1.23862,0.78026,1.47432,0.00588733,0.00588733,0.00588733
64,19511,1.14419,0.73704,1.22041,0.92122,0.66996,0.75341,0.48998,1.23285,0.77662,1.4725,0.005821,0.005821,0.005821
65,19815.6,1.14787,0.73363,1.22183,0.92898,0.66484,0.74836,0.48431,1.22921,0.77055,1.46967,0.00575467,0.00575467,0.00575467
