epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3009.67,0.66899,1.05369,0.56022,0.95832,0.93771,0.94603,0.96719,0.81009,0.93396,0.94115,0.95972,0.63125,0.84436,1.56168,0.67647,0.84888,0.008086,0.008086,0.008086
31,3143.48,0.6712,1.05507,0.55885,0.95667,0.90818,0.88689,0.93998,0.76688,0.90276,0.88059,0.92724,0.60733,0.89949,1.54254,0.7577,0.85448,0.00802,0.00802,0.00802
32,3250.34,0.66807,1.06569,0.55774,0.95959,0.96144,0.93395,0.96774,0.81371,0.95752,0.93021,0.96225,0.65281,0.85776,1.44784,0.65007,0.85655,0.007954,0.007954,0.007954
33,3353.9,0.66162,1.03946,0.54985,0.95274,0.94415,0.9386,0.96631,0.80628,0.94074,0.93525,0.96048,0.639,0.84079,1.40154,0.6414,0.83953,0.007888,0.007888,0.007888
34,3454.38,0.6609,1.03325,0.55482,0.9514,0.92768,0.95187,0.97086,0.81083,0.92429,0.9474,0.96287,0.62454,0.88106,1.61701,0.65278,0.85886,0.007822,0.007822,0.007822
35,3551.3,0.65428,1.03521,0.54495,0.94869,0.89485,0.90379,0.95689,0.80962,0.88573,0.89806,0.94721,0.62944,0.84165,1.49173,0.6531,0.8225,0.007756,0.007756,0.007756
36,3648.65,0.65399,1.04122,0.54444,0.94866,0.94827,0.93848,0.96918,0.80136,0.9389,0.92679,0.94863,0.61636,0.87408,1.46336,0.61712,0.84137,0.00769,0.00769,0.00769
37,3745.45,0.65633,1.03602,0.55188,0.94859,0.93293,0.93354,0.9674,0.82052,0.92485,0.92586,0.95433,0.6363,0.84258,1.53866,0.66899,0.83068,0.007624,0.007624,0.007624
38,3842.56,0.6536,1.03237,0.54439,0.94908,0.93076,0.93036,0.95977,0.80053,0.91463,0.91662,0.9374,0.62852,0.89405,1.60857,0.64796,0.83047,0.007558,0.007558,0.007558
39,3938.79,0.65896,1.03428,0.54829,0.95289,0.93872,0.94087,0.96711,0.79243,0.92802,0.93173,0.95053,0.63057,0.9041,1.42283,0.6242,0.82377,0.007492,0.007492,0.007492
40,4035.36,0.65377,1.04164,0.54619,0.95124,0.9091,0.93296,0.95079,0.78636,0.8869,0.91037,0.91701,0.58646,0.90607,1.63034,0.69617,0.8349,0.007426,0.007426,0.007426
41,4132.19,0.65513,1.03157,0.54688,0.94832,0.93866,0.91937,0.95375,0.80438,0.92856,0.90977,0.93882,0.62202,0.85832,1.49723,0.65357,0.81414,0.00736,0.00736,0.00736
42,4229.23,0.64464,1.02212,0.53987,0.94718,0.95454,0.90387,0.94726,0.80661,0.95061,0.90124,0.94213,0.65291,0.82675,1.43795,0.67899,0.82414,0.007294,0.007294,0.007294
