epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1134.68,1.24757,0.65444,1.0739,0.9319,0.90932,0.96285,0.64973,1.17811,0.60504,1.08786,0.007162,0.007162,0.007162
45,1159.41,1.241,0.65063,1.06622,0.92858,0.91161,0.95929,0.63372,1.20851,0.62616,1.09241,0.007096,0.007096,0.007096
46,1184.19,1.2388,0.65272,1.06463,0.93633,0.89817,0.95892,0.6328,1.20887,0.62377,1.10555,0.00703,0.00703,0.00703
47,1209.23,1.25319,0.65684,1.07403,0.93751,0.90821,0.96279,0.64564,1.18524,0.59808,1.08679,0.006964,0.006964,0.006964
48,1234.23,1.23227,0.64392,1.06271,0.93078,0.91283,0.96287,0.64651,1.1859,0.61033,1.08767,0.006898,0.006898,0.006898
49,1259.12,1.23757,0.64641,1.06491,0.93562,0.91254,0.96228,0.64713,1.18316,0.59156,1.08439,0.006832,0.006832,0.006832
50,1283.93,1.22517,0.6418,1.06008,0.92288,0.90967,0.96073,0.6437,1.19461,0.61521,1.09149,0.006766,0.006766,0.006766
51,1308.76,1.22743,0.64192,1.05982,0.92532,0.91857,0.96413,0.64011,1.19111,0.61257,1.0921,0.0067,0.0067,0.0067
52,1333.58,1.23672,0.64349,1.06277,0.94262,0.91586,0.96494,0.65296,1.16832,0.58067,1.07048,0.006634,0.006634,0.006634
53,1358.64,1.22769,0.63899,1.05975,0.93506,0.8988,0.96045,0.63734,1.21173,0.61604,1.09353,0.006568,0.006568,0.006568
54,1383.86,1.24149,0.6441,1.06516,0.94001,0.89901,0.96271,0.65298,1.18157,0.59986,1.08392,0.006502,0.006502,0.006502
55,1409.36,1.23104,0.64123,1.06062,0.931,0.91168,0.96272,0.64458,1.21112,0.59848,1.10596,0.006436,0.006436,0.006436
56,1434.64,1.22025,0.63949,1.05847,0.92902,0.92396,0.96585,0.65365,1.1679,0.58603,1.07476,0.00637,0.00637,0.00637
57,1459.81,1.21522,0.63327,1.05501,0.93588,0.90964,0.96492,0.65114,1.17604,0.58595,1.0859,0.006304,0.006304,0.006304
58,1484.71,1.22323,0.63425,1.05387,0.93533,0.91729,0.96425,0.65472,1.1793,0.58079,1.08156,0.006238,0.006238,0.006238
59,1509.5,1.21436,0.63316,1.05473,0.93278,0.91988,0.96294,0.65401,1.17537,0.58328,1.07813,0.006172,0.006172,0.006172
60,1534.39,1.22939,0.6404,1.05998,0.94356,0.909,0.96388,0.64743,1.18412,0.59791,1.08581,0.006106,0.006106,0.006106
61,1559.24,1.20949,0.62652,1.05538,0.93097,0.91987,0.96552,0.65483,1.17077,0.58048,1.08193,0.00604,0.00604,0.00604
62,1584.13,1.21646,0.62538,1.05361,0.9306,0.9208,0.96589,0.65916,1.16593,0.57433,1.07661,0.005974,0.005974,0.005974
63,1608.93,1.21801,0.62742,1.05483,0.93824,0.90693,0.96227,0.64564,1.19362,0.58834,1.08742,0.005908,0.005908,0.005908
64,1633.96,1.20441,0.62391,1.05084,0.93708,0.91382,0.96653,0.65457,1.16173,0.58627,1.07402,0.005842,0.005842,0.005842
65,1658.98,1.21259,0.62682,1.05464,0.93737,0.91823,0.96524,0.65436,1.17292,0.5822,1.07479,0.005776,0.005776,0.005776
66,1683.95,1.21611,0.62885,1.05745,0.93428,0.91532,0.96217,0.64448,1.17094,0.59197,1.07473,0.00571,0.00571,0.00571
67,1708.67,1.20758,0.62093,1.05133,0.94023,0.91761,0.96724,0.6613,1.16614,0.57088,1.07421,0.005644,0.005644,0.005644
68,1733.96,1.19864,0.62038,1.05059,0.93408,0.91901,0.96402,0.65178,1.16611,0.58108,1.07551,0.005578,0.005578,0.005578
69,1759.18,1.20556,0.62345,1.05242,0.93329,0.92085,0.96421,0.65303,1.17273,0.57062,1.07945,0.005512,0.005512,0.005512
70,1784.38,1.20609,0.62247,1.05272,0.94008,0.91761,0.96704,0.65554,1.16821,0.58289,1.07633,0.005446,0.005446,0.005446
71,1809.53,1.20573,0.62105,1.05269,0.93738,0.92324,0.96615,0.65523,1.16048,0.57108,1.06848,0.00538,0.00538,0.00538
72,1834.27,1.19868,0.61553,1.04745,0.93746,0.92175,0.96561,0.6548,1.15566,0.56202,1.07211,0.005314,0.005314,0.005314
73,1858.99,1.20691,0.62027,1.05254,0.93449,0.91474,0.9644,0.65594,1.17045,0.57781,1.07461,0.005248,0.005248,0.005248
74,1884.13,1.20277,0.61557,1.04843,0.93168,0.9243,0.96784,0.65923,1.15651,0.56914,1.07328,0.005182,0.005182,0.005182
75,1908.49,1.18496,0.60874,1.04351,0.93925,0.91538,0.96789,0.66485,1.15023,0.57239,1.06103,0.005116,0.005116,0.005116
76,1932.95,1.19959,0.61192,1.04191,0.94218,0.91458,0.96628,0.66175,1.15269,0.56487,1.06828,0.00505,0.00505,0.00505
77,1957.51,1.19331,0.60981,1.0432,0.93679,0.92462,0.96922,0.66408,1.14611,0.56184,1.06909,0.004984,0.004984,0.004984
78,1982.3,1.19991,0.61348,1.0482,0.93796,0.92319,0.9676,0.66474,1.15464,0.56191,1.06909,0.004918,0.004918,0.004918
79,2006.76,1.19054,0.6057,1.04431,0.93552,0.9295,0.97057,0.66525,1.15079,0.55511,1.07049,0.004852,0.004852,0.004852
80,2031.25,1.18972,0.60596,1.04243,0.93193,0.92956,0.96801,0.66344,1.14985,0.57606,1.06844,0.004786,0.004786,0.004786
81,2055.93,1.18537,0.60554,1.03913,0.93666,0.92191,0.96913,0.66353,1.15014,0.55804,1.0653,0.00472,0.00472,0.00472
82,2080.49,1.18295,0.60954,1.03871,0.93937,0.92338,0.97006,0.66843,1.1419,0.55879,1.06324,0.004654,0.004654,0.004654
83,2105.37,1.18097,0.60166,1.04605,0.94108,0.92096,0.96952,0.66844,1.14986,0.55994,1.07357,0.004588,0.004588,0.004588
84,2130.02,1.17711,0.60018,1.04255,0.93907,0.9235,0.97004,0.66926,1.13928,0.54849,1.07001,0.004522,0.004522,0.004522
85,2154.74,1.17822,0.59681,1.03633,0.94042,0.92817,0.96941,0.66451,1.14697,0.55575,1.06924,0.004456,0.004456,0.004456
86,2179.15,1.18787,0.60367,1.04119,0.94021,0.91714,0.96746,0.66305,1.15085,0.55078,1.0661,0.00439,0.00439,0.00439
87,2203.54,1.17705,0.59767,1.04153,0.94099,0.92501,0.97096,0.66905,1.142,0.5453,1.06379,0.004324,0.004324,0.004324
88,2227.95,1.17173,0.59601,1.03879,0.94098,0.91777,0.96834,0.66452,1.14584,0.55859,1.06647,0.004258,0.004258,0.004258
89,2252.51,1.17815,0.59952,1.03998,0.93427,0.92414,0.96641,0.66971,1.1381,0.54785,1.06283,0.004192,0.004192,0.004192
90,2276.9,1.1796,0.59745,1.03991,0.93955,0.92136,0.96906,0.6691,1.13302,0.54804,1.06133,0.004126,0.004126,0.004126
91,2301.41,1.16631,0.59607,1.0367,0.94048,0.92733,0.96944,0.67038,1.14055,0.54626,1.06434,0.00406,0.00406,0.00406
92,2326.05,1.16874,0.59509,1.03451,0.93078,0.92794,0.96702,0.66777,1.14656,0.54403,1.06878,0.003994,0.003994,0.003994
93,2350.67,1.17035,0.59032,1.0326,0.94246,0.92239,0.96864,0.67245,1.13591,0.54417,1.05923,0.003928,0.003928,0.003928
94,2375.24,1.16565,0.59596,1.03366,0.93594,0.92319,0.96762,0.6666,1.1434,0.54772,1.06477,0.003862,0.003862,0.003862
95,2399.79,1.16666,0.5935,1.03212,0.9388,0.92655,0.96929,0.67024,1.14375,0.54899,1.06088,0.003796,0.003796,0.003796
96,2424.32,1.15556,0.58556,1.0335,0.94622,0.92112,0.96911,0.67181,1.13675,0.54351,1.06704,0.00373,0.00373,0.00373
97,2449.15,1.16868,0.59157,1.03648,0.93475,0.93052,0.96994,0.67113,1.1392,0.54071,1.06136,0.003664,0.003664,0.003664
98,2473.82,1.16207,0.58426,1.03117,0.9434,0.92436,0.96851,0.67359,1.12959,0.53481,1.05658,0.003598,0.003598,0.003598
99,2498.37,1.1519,0.57882,1.02896,0.93873,0.92398,0.96762,0.6718,1.13179,0.53969,1.06236,0.003532,0.003532,0.003532
100,2522.9,1.16322,0.58597,1.03591,0.94468,0.91988,0.97034,0.67446,1.12864,0.53634,1.06033,0.003466,0.003466,0.003466
